index,open,high,low,close,number_ticks
2022/7/15 6:55,20859.61,20879.53,20852.37,20860.63,3494
2022/7/15 7:00,20861.07,20878.91,20828.52,20829.17,3776
2022/7/15 7:05,20829.17,20860.65,20812.01,20841.4,4016
2022/7/15 7:10,20841.4,20930.29,20837.93,20924.94,4008
2022/7/15 7:15,20924.94,20935.41,20827.03,20836.2,4764
2022/7/15 7:20,20836.09,20901.72,20833.94,20877.5,4106
2022/7/15 7:25,20877,20878.74,20846.53,20850.65,3680
2022/7/15 7:30,20850.64,20860.95,20833.34,20839.55,3612
2022/7/15 7:35,20839.55,20858.79,20794.52,20799.88,3871
2022/7/15 7:40,20799.88,20806.4,20759.47,20770.5,4034
2022/7/15 7:45,20770.5,20809.97,20755.55,20797.55,3953
2022/7/15 7:50,20797.55,20800.92,20769.13,20774.45,3577
2022/7/15 7:55,20774.45,20782.68,20754.37,20759.87,3785
2022/7/15 8:00,20759.87,20776.62,20752.25,20766.27,3903
2022/7/15 8:05,20766.26,20789.73,20763.56,20783.37,3777
2022/7/15 8:10,20783.55,20795.5,20761.72,20788.3,3861
2022/7/15 8:15,20788.3,20812.53,20784.56,20799.31,3825
2022/7/15 8:20,20799.32,20886.74,20796.64,20866.56,4416
2022/7/15 8:25,20866.56,20872.13,20834.36,20837.3,4091
2022/7/15 8:30,20837.26,20881.81,20763.02,20779.05,5532
2022/7/15 8:35,20779.04,20931.08,20773.49,20930.77,5045
2022/7/15 8:40,20930.77,20935.88,20890.41,20924.59,4224
2022/7/15 8:45,20924.56,21012.41,20915.03,21005.19,4926
2022/7/15 8:50,21005.14,21025.5,20943.63,20949.36,4314
2022/7/15 8:55,20949.23,20983.77,20917.91,20978.08,4498
2022/7/15 9:00,20977.4,21000.38,20972.02,20972.46,4576
2022/7/15 9:05,20972.46,21073.87,20970.08,21024.95,4894
2022/7/15 9:10,21024.95,21039.03,20954.89,20957.76,4260
2022/7/15 9:15,20957.92,20970.46,20923.5,20959.4,4403
2022/7/15 9:20,20959.37,20966.71,20905.99,20921.37,4282
2022/7/15 9:25,20921.37,20985.32,20921.37,20962.52,4117
2022/7/15 9:30,20963.04,21024.43,20957.67,20994.15,5301
2022/7/15 9:35,20994.45,21017.37,20873.61,20874.66,5207
2022/7/15 9:40,20873.89,20884.4,20839.56,20878.55,4963
2022/7/15 9:45,20878.51,20883.07,20820.74,20863.93,4899
2022/7/15 9:50,20863.93,20866.01,20789.02,20798.41,4578
2022/7/15 9:55,20798.41,20864.55,20793.26,20863.1,4470
2022/7/15 10:00,20862.35,20980.04,20862.35,20921.63,5655
2022/7/15 10:05,20920.3,20942.79,20876.43,20923.35,4942
2022/7/15 10:10,20923.35,20961.55,20897.75,20927.19,4676
2022/7/15 10:15,20927.2,20951.05,20905.53,20927.68,4642
